speed_0,speed_1,speed_2,speed_3,speed_4,speed_5,speed_6,speed_7,speed_8,speed_9,speed_10,speed_11,speed_12,speed_13,speed_14,speed_15,speed_16,speed_17,speed_18,speed_19,speed_20,speed_21,speed_22,speed_23,speed_24,speed_25,speed_26,speed_27,speed_28,speed_29,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15,density_16,density_17,density_18,density_19,density_20,density_21,density_22,density_23,density_24,density_25,density_26,density_27,density_28,density_29
1.414285714285714,0.16142857142857145,3.825,3.26,30.0,10.55,7.25,8.45,9.115,10.03,5.82,6.096666666666668,9.23,30.0,12.79,1.635,1.036,2.8475,5.87,30.0,9.87,30.0,2.69,2.095,6.4350000000000005,30.0,9.32,8.345,30.0,30.0,0.14,0.14,0.04,0.02,0.0,0.02,0.04,0.02,0.04,0.02,0.04,0.06,0.02,0.0,0.02,0.08,0.1,0.08,0.02,0.0,0.04,0.0,0.08,0.08,0.04,0.0,0.02,0.04,0.0,0.0
7.46,10.09,10.145,6.156666666666666,7.325,10.68,11.56,30.0,13.33,9.96,11.62,5.406666666666666,4.932500000000001,6.08,8.87,7.593333333333334,6.445,10.67,6.19,6.5,5.333333333333333,6.76,9.46,9.41,0.8939999999999999,3.0175,4.15,6.67,6.07,9.29,0.04,0.02,0.04,0.06,0.04,0.02,0.02,0.0,0.04,0.02,0.02,0.06,0.08,0.04,0.02,0.06,0.04,0.02,0.06,0.06,0.06,0.02,0.04,0.02,0.1,0.08,0.04,0.02,0.02,0.04
6.423333333333333,7.1,7.36,10.55,8.15,5.7733333333333325,9.245,9.55,9.235,8.76,6.989999999999998,4.385,3.5700000000000003,30.0,7.780000000000001,8.21,8.42,10.09,30.0,12.09,8.495000000000001,3.3240000000000003,4.743333333333333,7.96,9.37,9.95,10.145,9.93,3.805,3.0375,0.06,0.02,0.02,0.02,0.02,0.06,0.04,0.02,0.04,0.04,0.06,0.08,0.06,0.0,0.06,0.02,0.04,0.02,0.0,0.02,0.04,0.1,0.06,0.04,0.02,0.02,0.04,0.02,0.08,0.08
7.87,7.863333333333334,7.583333333333332,10.7,10.535,11.23,11.74,13.07,13.28,6.44,6.086666666666666,30.0,7.326666666666667,8.16,10.34,10.945,1.58,4.216666666666668,7.295,2.9450000000000003,3.285,6.79,8.69,6.41,9.71,9.6,2.425,2.646666666666667,5.056666666666667,4.376666666666666,0.02,0.06,0.06,0.02,0.04,0.02,0.02,0.02,0.04,0.02,0.06,0.0,0.06,0.04,0.02,0.04,0.06,0.06,0.04,0.04,0.08,0.02,0.02,0.06,0.04,0.02,0.04,0.06,0.06,0.06
2.793333333333333,5.97,7.1,0.8300000000000001,4.27,5.260000000000002,30.0,10.06,10.65,14.05,12.7,7.493333333333332,8.9,9.945,3.275,3.036666666666666,5.586666666666666,8.99,5.31,5.65,7.935,9.4,9.82,11.26,9.37,10.175,11.41,9.01,2.87,2.872,0.06,0.06,0.04,0.08,0.04,0.06,0.0,0.02,0.02,0.02,0.02,0.06,0.02,0.04,0.08,0.06,0.06,0.02,0.02,0.04,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.02,0.04,0.1
10.42,30.0,13.0,10.13,9.86,9.52,7.71,8.45,11.23,7.5699999999999985,1.045,5.1,6.235,7.93,7.873333333333334,7.8450000000000015,8.045,8.49,30.0,15.67,14.06,10.61,7.536666666666666,0.545,3.0866666666666664,6.195,5.82,4.8133333333333335,5.836666666666668,7.729999999999999,0.02,0.0,0.02,0.02,0.04,0.02,0.06,0.02,0.04,0.04,0.08,0.04,0.04,0.02,0.06,0.04,0.04,0.04,0.0,0.02,0.02,0.02,0.06,0.12,0.06,0.04,0.06,0.06,0.06,0.04
30.0,9.585,3.827500000000001,0.4633333333333333,4.07,6.7,6.1850000000000005,30.0,4.586666666666667,8.209999999999999,11.01,10.64,30.0,6.703333333333332,6.785,1.3099999999999998,3.0033333333333334,5.7650000000000015,8.24,9.1,11.95,10.48,30.0,11.68,9.303333333333336,6.445,1.7766666666666666,6.496666666666667,8.07,9.1,0.0,0.04,0.08,0.12,0.04,0.02,0.04,0.0,0.06,0.04,0.02,0.02,0.0,0.06,0.04,0.12,0.06,0.04,0.02,0.04,0.02,0.04,0.0,0.02,0.06,0.04,0.06,0.06,0.02,0.02
3.115,7.83,5.5150000000000015,3.72,7.37,30.0,9.11,9.51,8.38,9.63,10.93,9.29,3.04,4.503333333333333,3.483333333333333,5.76,11.27,30.0,9.37,9.85,9.37,30.0,6.5775000000000015,9.4,9.45,12.88,6.23,3.7875,5.94,1.982,0.04,0.02,0.04,0.08,0.02,0.0,0.06,0.04,0.06,0.02,0.02,0.04,0.08,0.06,0.06,0.02,0.02,0.0,0.02,0.04,0.02,0.0,0.08,0.02,0.04,0.02,0.04,0.08,0.06,0.1
8.510000000000002,7.87,5.39,0.5033333333333333,2.4266666666666663,6.315,6.49,4.83,4.155,0.605,4.57,30.0,8.53,9.03,7.59,7.0150000000000015,9.565,30.0,8.91,7.88,10.97,4.316000000000002,6.82,9.32,30.0,2.5166666666666666,1.4425,3.01,8.35,7.91,0.04,0.02,0.04,0.12,0.06,0.04,0.02,0.06,0.04,0.12,0.04,0.0,0.02,0.02,0.04,0.04,0.04,0.0,0.02,0.04,0.02,0.1,0.02,0.02,0.0,0.06,0.08,0.02,0.02,0.04
7.41,7.98,3.165,5.4766666666666675,8.135,5.86,6.43,8.2,7.68,30.0,30.0,3.78,3.1020000000000003,4.12,5.5150000000000015,8.24,30.0,9.945,6.85,8.015,4.895,5.5475,30.0,8.475,6.545,7.07,6.259999999999999,5.8,6.303333333333334,5.223333333333333,0.02,0.04,0.04,0.06,0.04,0.02,0.08,0.04,0.04,0.0,0.0,0.04,0.1,0.06,0.04,0.02,0.0,0.04,0.04,0.04,0.04,0.08,0.0,0.04,0.04,0.04,0.06,0.02,0.06,0.06
6.373333333333334,7.62,7.055,5.026666666666666,6.5600000000000005,9.1,8.89,4.056666666666667,6.0150000000000015,9.33,0.0,0.4783333333333333,4.046666666666667,5.47,7.92,8.405000000000001,30.0,4.395,0.9933333333333336,5.405,5.85,11.33,30.0,12.14,7.85,8.06,13.19,30.0,5.765,4.72,0.06,0.02,0.04,0.06,0.04,0.02,0.04,0.06,0.04,0.02,0.06,0.12,0.06,0.02,0.02,0.04,0.0,0.08,0.06,0.04,0.02,0.02,0.0,0.04,0.04,0.02,0.02,0.0,0.08,0.06
30.0,4.325,4.1850000000000005,5.57,30.0,9.875,9.88,3.16,3.0525,5.79,7.87,30.0,1.87,0.655,2.6875,5.47,30.0,0.602,3.6533333333333338,6.2,9.31,2.3875,4.45,7.574999999999998,9.83,10.03,30.0,0.06,2.183333333333333,4.895,0.0,0.08,0.04,0.04,0.0,0.04,0.04,0.02,0.08,0.04,0.02,0.0,0.06,0.12,0.08,0.02,0.0,0.1,0.06,0.02,0.02,0.08,0.04,0.04,0.02,0.02,0.0,0.02,0.06,0.04
7.66,10.59,3.7425,1.265,4.9,30.0,9.34,8.45,7.65,7.43,8.09,8.416666666666666,30.0,11.18,13.41,12.11,4.32,7.39,6.953333333333332,7.925,5.816666666666666,5.8925,3.606666666666667,2.9233333333333333,4.29,4.96,7.83,8.136666666666667,9.0,7.6,0.02,0.02,0.08,0.08,0.02,0.0,0.04,0.02,0.04,0.04,0.02,0.06,0.0,0.04,0.02,0.02,0.06,0.02,0.06,0.04,0.06,0.08,0.06,0.06,0.06,0.02,0.04,0.06,0.02,0.04
9.57,30.0,11.44,11.14,9.87,9.625,8.59,7.743333333333332,8.29,10.8,8.315000000000001,7.7,6.996666666666667,4.196666666666666,5.045,1.2966666666666666,5.305,0.7175,4.085,30.0,8.95,30.0,11.19,10.685,9.33,6.436666666666667,1.22,1.0959999999999999,3.813333333333334,7.56,0.02,0.0,0.02,0.02,0.04,0.04,0.04,0.06,0.02,0.04,0.04,0.02,0.06,0.06,0.04,0.12,0.04,0.08,0.04,0.0,0.02,0.0,0.02,0.04,0.04,0.06,0.04,0.1,0.06,0.02
